Ch	FreqNum	GIC_SW	CNTHigh	CNTLow	GAP	CCS_A	CCS_B	GIC1A	GIC1B	GIC2A	GIC2B	GIC3A	GIC3B	GIC4A	GIC4B	OffsetHigh	OffsetLow
13	4	8	0	1	1	154	189	119	64	119	64	119	64	119	64	0	12	
13	5	8	0	0	1	121	162	127	173	127	173	127	173	127	173	0	8	
13	6	4	0	0	5	157	92	123	134	123	134	123	134	123	134	0	6	
13	7	4	0	0	10	124	106	124	49	124	49	124	49	124	49	0	6	
13	8	2	0	0	25	209	88	123	63	123	63	123	63	123	63	0	30	
13	9	1	0	0	40	3	90	255	90	255	90	255	90	255	90	0	31	
13	16	8	3	231	1	88	214	128	128	128	128	128	128	128	128	0	10	
13	17	8	0	9	1	150	221	128	128	128	128	128	128	128	128	0	9	
13	18	8	0	0	1	121	162	127	173	127	173	127	173	127	173	0	8	
13	19	4	0	0	5	157	92	123	134	123	134	123	134	123	134	0	6	
14	0	8	3	231	1	2	206	128	128	128	128	128	128	128	128	0	15	
14	1	8	0	199	1	29	216	128	128	128	128	128	128	128	128	0	22	
14	2	8	0	99	1	149	233	128	128	128	128	128	128	128	128	0	9	
14	3	8	0	9	1	93	223	128	128	128	128	128	128	128	128	0	10	
14	4	8	0	1	1	130	202	123	12	123	12	123	12	123	12	0	13	
14	5	8	0	0	1	130	162	129	201	129	201	129	201	129	201	0	9	
14	6	4	0	0	5	102	101	133	165	133	165	133	165	133	165	0	7	
14	7	4	0	0	10	249	224	180	255	180	255	180	255	180	255	0	67	
14	8	2	0	0	25	81	90	142	58	142	58	142	58	142	58	0	28	
14	9	1	0	0	40	138	99	255	60	255	60	255	60	255	60	0	37	
14	16	8	3	231	1	2	206	128	128	128	128	128	128	128	128	0	15	
14	17	8	0	9	1	93	223	128	128	128	128	128	128	128	128	0	10	
14	18	8	0	0	1	130	162	129	201	129	201	129	201	129	201	0	9	
14	19	4	0	0	5	102	101	133	165	133	165	133	165	133	165	0	7	
